iter	Passed	Remaining
0	0	60
1	1	66
2	1	63
3	2	57
4	2	55
5	3	53
6	3	52
7	4	51
8	4	49
9	5	48
10	6	52
11	7	55
12	8	57
13	9	56
14	9	54
15	10	53
16	10	53
17	11	51
18	11	50
19	12	49
20	12	48
21	13	47
22	13	46
23	14	46
24	15	46
25	15	45
26	16	44
27	16	43
28	17	42
29	17	41
30	18	40
31	18	39
32	19	39
33	20	38
34	21	39
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	24	35
41	25	34
42	25	33
43	26	33
44	26	32
45	27	32
46	27	31
47	28	30
48	28	30
49	29	29
50	29	28
51	30	28
52	31	27
53	31	26
54	31	26
55	32	25
56	32	24
57	33	24
58	34	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	20
66	39	19
67	39	18
68	40	18
69	41	17
70	41	16
71	42	16
72	42	15
73	43	15
74	43	14
75	44	13
76	44	13
77	45	12
78	45	12
79	46	11
80	47	11
81	48	10
82	49	10
83	49	9
84	50	8
85	51	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	53	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
